Headline,URL
Alonso fastest as practice disrupted by rain,
Win over Australia would change narrative for EnglandDefeat by Australia at the T20 World Cup would not be terminal for England but a win would let them change the narrative after Indian struggles.6 hrs agoEngland,/sport/cricket/articles/cn001d7l1veo
Win over Australia would change narrative for England,
Alcaraz recovers to beat Sinner & reach Paris final against ZverevCarlos Alcaraz moves a step closer to a maiden French Open title by beating incoming world number one Jannik Sinner in an engrossing semi-final.5 hrs agoTennis,/sport/tennis/articles/c4nn7yj8358o
Alcaraz recovers to beat Sinner & reach Paris final against Zverev,
"'For Scotland, no party, as Euros farewell falls flat'3 hrs agoScotland Men",/sport/football/articles/cg33d997v7no
"'For Scotland, no party, as Euros farewell falls flat'",
'Queen of clay' Swiatek v late bloomer Paolini - Paris final previewIga Swiatek takes on Jasmine Paolini in the final of the French Open as she bids for a fifth Grand Slam title.4 hrs agoTennis,/sport/tennis/articles/c2qq12drq92o
'Queen of clay' Swiatek v late bloomer Paolini - Paris final preview,
Ireland win first European gold since 1998 Ireland secure a first European Athletics Championships gold medal since 1998 as their 4x400m mixed relay team superbly triumphs in Rome.4 hrs agoAthletics,/sport/athletics/articles/cqeezqqzg4vo
Ireland win first European gold since 1998,
Alonso fastest as practice disrupted by rainAston Martin driver Fernando Alonso is fastest in Friday practice at the Canadian Grand Prix on a day disrupted by intermittent rain.2 hrs agoFormula 1,/sport/formula1/articles/cv22vy4vx39o
Alonso fastest as practice disrupted by rain,
British Broadcasting Corporation,/
Home,https://www.bbc.com/
News,/news
Sport,/sport
Business,/business
Innovation,/innovation
Culture,/culture
Travel,/travel
Earth,/future-planet
Video,/video
Live,/live
Audio,https://www.bbc.co.uk/sounds
Weather,https://www.bbc.com/weather
BBC Shop,https://shop.bbc.com/
Terms of Use,https://www.bbc.co.uk/usingthebbc/terms
About the BBC,https://www.bbc.co.uk/aboutthebbc
Privacy Policy,https://www.bbc.com/usingthebbc/privacy/
Cookies,https://www.bbc.com/usingthebbc/cookies/
Accessibility Help,https://www.bbc.co.uk/accessibility/
Contact the BBC,https://www.bbc.co.uk/contact
Advertise with us,https://www.bbc.com/advertisingcontact
Do not share or sell my info,https://www.bbc.com/usingthebbc/cookies/how-can-i-change-my-bbc-cookie-settings/
Contact technical support,https://www.bbc.com/contact-bbc-com-help
Read about our approach to external linking.,https://www.bbc.co.uk/editorialguidelines/guidance/feeds-and-links
